Carrier,Year,Numbers Of Flights
AA,1988,694757
AS,1988,89822
CO,1988,457031
DL,1988,753983
HP,1988,180871
NW,1988,431440
TW,1988,275819
UA,1988,587144
US,1988,494383
WN,1988,262422
AA,1989,723252
AS,1989,89122
CO,1989,410322
DL,1989,783320
HP,1989,195588
NW,1989,451752
TW,1989,276471
UA,1989,574674
US,1989,712342
WN,1989,288802
AA,1990,712060
AS,1990,97934
CO,1990,427570
DL,1990,824062
HP,1990,216314
NW,1990,461745
TW,1990,264182
UA,1990,606713
US,1990,1002485
WN,1990,322759
AA,1991,725191
AS,1991,98952
CO,1991,424734
DL,1991,874791
HP,1991,219896
NW,1991,460230
TW,1991,231769
UA,1991,630093
US,1991,907184
WN,1991,368734
AA,1992,782371
AS,1992,102207
CO,1992,421974
DL,1992,916593
HP,1992,199066
NW,1992,474931
TW,1992,246449
UA,1992,639349
US,1992,886305
WN,1992,422912
AA,1993,786696
AS,1993,98431
CO,1993,419560
DL,1993,898896
HP,1993,176756
NW,1993,474831
TW,1993,244782
UA,1993,649086
US,1993,833131
WN,1993,488332
AA,1994,722277
AS,1994,117475
CO,1994,484834
DL,1994,874526
HP,1994,177851
NW,1994,482798
TW,1994,258205
UA,1994,638750
US,1994,857906
WN,1994,565426
AA,1995,688471
AS,1995,135124
CO,1995,434425
DL,1995,884019
HP,1995,194508
NW,1995,521693
TW,1995,272452
UA,1995,724807
US,1995,778835
WN,1995,693101
AA,1996,655539
AS,1996,144291
CO,1996,414410
DL,1996,888306
HP,1996,203001
NW,1996,543041
TW,1996,282176
UA,1996,735266
US,1996,728534
WN,1996,757419
AA,1997,663954
AS,1997,147750
CO,1997,403349
DL,1997,921850
HP,1997,206304
NW,1997,537152
TW,1997,274037
UA,1997,743847
US,1997,718751
WN,1997,794849
AA,1998,653919
AS,1998,152220
CO,1998,399273
DL,1998,915095
HP,1998,203071
NW,1998,527512
TW,1998,274073
UA,1998,748459
US,1998,696030
WN,1998,815069
AA,1999,692653
AS,1999,156098
CO,1999,400014
DL,1999,914130
HP,1999,209496
NW,1999,537180
TW,1999,275830
UA,1999,774370
US,1999,714430
WN,1999,853683
AA,2000,742265
AS,2000,154171
CO,2000,393036
DL,2000,908029
HP,2000,219160
NW,2000,551337
TW,2000,267131
UA,2000,776559
US,2000,748624
WN,2000,911699
AA,2001,716985
AS,2001,156447
CO,2001,377281
DL,2001,835236
HP,2001,209979
MQ,2001,489418
NW,2001,533045
TW,2001,244721
UA,2001,704977
US,2001,688748
WN,2001,957145
AA,2002,852439
AS,2002,159194
CO,2002,325246
DL,2002,728758
HP,2002,196111
MQ,2002,439984
NW,2002,513331
UA,2002,587887
US,2002,511664
WN,2002,956745
AA,2003,752241
AS,2003,161594
CO,2003,302742
DL,2003,660617
HP,2003,189519
MQ,2003,429098
NW,2003,499160
UA,2003,543957
US,2003,411956
WN,2003,958566
AA,2004,698548
AS,2004,166992
CO,2004,299329
DL,2004,687638
HP,2004,195939
MQ,2004,483088
NW,2004,507286
UA,2004,555812
US,2004,419919
WN,2004,990404
AA,2005,673569
AS,2005,158100
CO,2005,296661
DL,2005,658302
HP,2005,197853
MQ,2005,532032
NW,2005,480832
UA,2005,485918
US,2005,425609
WN,2005,1036034
AA,2006,643597
AS,2006,159404
CO,2006,309389
DL,2006,506086
MQ,2006,550088
NW,2006,432880
UA,2006,500008
US,2006,504844
WN,2006,1099321
AA,2007,633857
AS,2007,160185
CO,2007,323151
DL,2007,475889
MQ,2007,540494
NW,2007,414526
UA,2007,490002
US,2007,485447
WN,2007,1168871
